Permission Identifier;Permission Display Name;SoD Class
Access_Manager;Access_Manager;
Access_Share1;Access_Share1;
Access_Share204;Access_Share204;
Access_Share22;Access_Share22;
Access_Share224;Access_Share224;
Access_Share226;Access_Share226;
Access_Share228;Access_Share228;
Access_Share229;Access_Share229;
Access_Share27;Access_Share27;
Access_Share270;Access_Share270;
Access_Share271;Access_Share271;
Access_Share273;Access_Share273;
Access_Share275;Access_Share275;
Access_Share276;Access_Share276;
Access_Share277_Extended;Access_Share277_Extended;
Access_Share279;Access_Share279;
Access_Share28;Access_Share28;
Access_Share280;Access_Share280;
Access_Share282;Access_Share282;
Access_Share284;Access_Share284;
Access_Share285;Access_Share285;
Access_Share286;Access_Share286;
Access_Share287;Access_Share287;
Access_Share288;Access_Share288;
Access_Share29;Access_Share29;
Access_Share293;Access_Share293;
Access_Share294;Access_Share294;
Access_Share295;Access_Share295;
Access_Share297;Access_Share297;
Access_Share299;Access_Share299;
Access_Share310;Access_Share310;
Access_Share312;Access_Share312;
Access_Share313;Access_Share313;Legal
Access_Share314;Access_Share314;
Access_Share316;Access_Share316;
Access_Share317;Access_Share317;
Access_Share318;Access_Share318;Audit
Access_Share319;Access_Share319;
Access_Share32;Access_Share32;
Access_Share320;Access_Share320;
Access_Share321;Access_Share321;Compliance
Access_Share322;Access_Share322;Market Follow-Up
Access_Share323;Access_Share323;
Access_Share324;Access_Share324;
Access_Share324_Extended;Access_Share324_Extended;
Access_Share326;Access_Share326;
Access_Share327;Access_Share327;
Access_Share33;Access_Share33;
Access_Share330;Access_Share330;
Access_Share332_Extended;Access_Share332_Extended;
Access_Share338;Access_Share338;
Access_Share340;Access_Share340;Legal
Access_Share341;Access_Share341;
Access_Share345;Access_Share345;
Access_Share347;Access_Share347;
Access_Share348;Access_Share348;
Access_Share348_Extended;Access_Share348_Extended;
Access_Share349_Extended;Access_Share349_Extended;
Access_Share35;Access_Share35;
Access_Share351;Access_Share351;
Access_Share353;Access_Share353;
Access_Share355;Access_Share355;
Access_Share356;Access_Share356;
Access_Share357;Access_Share357;Risk Controlling
Access_Share358;Access_Share358;
Access_Share358_Extended;Access_Share358_Extended;
Access_Share359;Access_Share359;
Access_Share359_Extended;Access_Share359_Extended;
Access_Share361;Access_Share361;
Access_Share362;Access_Share362;
Access_Share365;Access_Share365;
Access_Share367;Access_Share367;
Access_Share367_Extended;Access_Share367_Extended;
Access_Share37;Access_Share37;
Access_Share370;Access_Share370;
Access_Share371;Access_Share371;Legal
Access_Share374;Access_Share374;
Access_Share376;Access_Share376;
Access_Share378;Access_Share378;
Access_Share386;Access_Share386;
Access_Share388;Access_Share388;
Access_Share39;Access_Share39;
Access_Share390;Access_Share390;
Access_Share391;Access_Share391;
Access_Share393;Access_Share393;
Access_Share399;Access_Share399;
Access_Share4;Access_Share4;
Access_Share40;Access_Share40;
Access_Share405;Access_Share405;
Access_Share408;Access_Share408;
Access_Share409;Access_Share409;
Access_Share41;Access_Share41;
Access_Share413;Access_Share413;
Access_Share414;Access_Share414;
Access_Share416;Access_Share416;
Access_Share418;Access_Share418;
Access_Share42;Access_Share42;
Access_Share420;Access_Share420;
Access_Share421;Access_Share421;
Access_Share428;Access_Share428;
Access_Share429;Access_Share429;
Access_Share43;Access_Share43;
Access_Share430;Access_Share430;
Access_Share432;Access_Share432;
Access_Share433;Access_Share433;
Access_Share434;Access_Share434;
Access_Share436;Access_Share436;
Access_Share440;Access_Share440;
Access_Share442;Access_Share442;
Access_Share444;Access_Share444;
Access_Share447;Access_Share447;
Access_Share448;Access_Share448;
Access_Share449;Access_Share449;
Access_Share45;Access_Share45;
Access_Share452;Access_Share452;
Access_Share454;Access_Share454;
Access_Share456;Access_Share456;
Access_Share457;Access_Share457;
Access_Share459;Access_Share459;
Access_Share46;Access_Share46;
Access_Share460;Access_Share460;
Access_Share47;Access_Share47;Trade
Access_Share475;Access_Share475;
Access_Share476;Access_Share476;Fund Mgt.
Access_Share477_Extended;Access_Share477_Extended;
Access_Share478;Access_Share478;
Access_Share479;Access_Share479;
Access_Share48;Access_Share48;
Access_Share480;Access_Share480;Compliance
Access_Share483;Access_Share483;
Access_Share484;Access_Share484;
Access_Share485;Access_Share485;
Access_Share486;Access_Share486;
Access_Share487;Access_Share487;
Access_Share490;Access_Share490;
Access_Share497;Access_Share497;
Access_Share498;Access_Share498;
Access_Share50;Access_Share50;
Access_Share501;Access_Share501;
Access_Share503;Access_Share503;
Access_Share506;Access_Share506;
Access_Share507;Access_Share507;
Access_Share508;Access_Share508;
Access_Share509;Access_Share509;
Access_Share513;Access_Share513;
Access_Share515;Access_Share515;
Access_Share52;Access_Share52;
Access_Share521;Access_Share521;
Access_Share523;Access_Share523;
Access_Share524;Access_Share524;
Access_Share525;Access_Share525;
Access_Share528;Access_Share528;
Access_Share529;Access_Share529;
Access_Share53;Access_Share53;
Access_Share531;Access_Share531;
Access_Share532;Access_Share532;
Access_Share533;Access_Share533;
Access_Share534;Access_Share534;
Access_Share535;Access_Share535;
Access_Share537;Access_Share537;
Access_Share538;Access_Share538;
Access_Share539;Access_Share539;
Access_Share540;Access_Share540;
Access_Share541;Access_Share541;
Access_Share542;Access_Share542;
Access_Share546;Access_Share546;
Access_Share547;Access_Share547;
Access_Share548;Access_Share548;
Access_Share549;Access_Share549;
Access_Share55;Access_Share55;
Access_Share550;Access_Share550;
Access_Share551;Access_Share551;
Access_Share552;Access_Share552;
Access_Share553;Access_Share553;
Access_Share554;Access_Share554;
Access_Share555;Access_Share555;
Access_Share556;Access_Share556;
Access_Share557;Access_Share557;
Access_Share558;Access_Share558;
Access_Share56;Access_Share56;
Access_Share560;Access_Share560;Risk Controlling
Access_Share562;Access_Share562;
Access_Share563;Access_Share563;
Access_Share569;Access_Share569;
Access_Share571;Access_Share571;
Access_Share572;Access_Share572;
Access_Share573;Access_Share573;
Access_Share575;Access_Share575;
Access_Share577;Access_Share577;
Access_Share58;Access_Share58;
Access_Share580;Access_Share580;
Access_Share582;Access_Share582;
Access_Share582_Extended;Access_Share582_Extended;
Access_Share584;Access_Share584;
Access_Share585;Access_Share585;
Access_Share586;Access_Share586;
Access_Share587;Access_Share587;Audit
Access_Share588;Access_Share588;
Access_Share588_Extended;Access_Share588_Extended;
Access_Share589;Access_Share589;
Access_Share590;Access_Share590;
Access_Share591;Access_Share591;Audit
Access_Share594;Access_Share594;
Access_Share596;Access_Share596;
Access_Share597;Access_Share597;
Access_Share598;Access_Share598;Market Follow-Up
Access_Share599;Access_Share599;
Access_Share60;Access_Share60;
Access_Share600;Access_Share600;
Access_Share604;Access_Share604;
Access_Share605;Access_Share605;
Access_Share606;Access_Share606;
Access_Share61;Access_Share61;
Access_Share610;Access_Share610;
Access_Share611;Access_Share611;Audit
Access_Share612;Access_Share612;
Access_Share613;Access_Share613;
Access_Share614;Access_Share614;
Access_Share615;Access_Share615;
Access_Share616;Access_Share616;
Access_Share617;Access_Share617;
Access_Share62;Access_Share62;
Access_Share620;Access_Share620;
Access_Share621;Access_Share621;
Access_Share622;Access_Share622;
Access_Share625;Access_Share625;
Access_Share627;Access_Share627;
Access_Share630;Access_Share630;
Access_Share632;Access_Share632;
Access_Share633;Access_Share633;
Access_Share639;Access_Share639;
Access_Share64;Access_Share64;
Access_Share640;Access_Share640;
Access_Share641;Access_Share641;
Access_Share643;Access_Share643;
Access_Share645;Access_Share645;
Access_Share647;Access_Share647;
Access_Share648;Access_Share648;
Access_Share649;Access_Share649;
Access_Share65;Access_Share65;
Access_Share650;Access_Share650;
Access_Share651;Access_Share651;
Access_Share652;Access_Share652;
Access_Share659;Access_Share659;
Access_Share66;Access_Share66;
Access_Share661;Access_Share661;
Access_Share662;Access_Share662;
Access_Share663;Access_Share663;
Access_Share664;Access_Share664;
Access_Share665;Access_Share665;
Access_Share666;Access_Share666;
Access_Share669;Access_Share669;
Access_Share67;Access_Share67;
Access_Share670;Access_Share670;
Access_Share671;Access_Share671;
Access_Share673;Access_Share673;
Access_Share674;Access_Share674;
